NCAA name,School,Conference,Division,Fall/2025 Roster,2025 Schedule,ScheduleLink,RosterLink,BaseURL,URL,Last Checked Roster,Last Checked Schedule,Site,YesBoth,YesRost,YesSked,No,images,color,record,ovr_win_pct,ovr_strk,conference_record,conf_win_pct,conf_strk,conf_image,notes,op,pp,prod
Adams St.,Adams State,RMAC,NA,Yes,Yes,https://asugrizzlies.com/sports/baseball/schedule/2025,https://asugrizzlies.com/sports/baseball/roster/2025,https://asugrizzlies.com/sports/baseball,https://asugrizzlies.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://asugrizzlies.com/images/logos/site/site.png?width=600,#124734,24-28,0.462,L2,19-13,0.594,L2,https://rmacsports.org/images/logos/site/site.png?width=600,RMAC Tournament Appearance,55.9,90.3,68.6
Adelphi,Adelphi,NE10,Southwest,Yes,No,https://aupanthers.com/sports/baseball/schedule/2025,https://aupanthers.com/sports/baseball/roster/2025,https://aupanthers.com/sports/baseball,https://aupanthers.com,2025-01-10T00:00:00Z,2025-01-07T00:00:00Z,Sidearm,0,1,0,0,https://aupanthers.com/images/logos/site/site.png?width=600,#ffb500,23-23,0.5,L1,15-12,0.556,L1,https://northeast10.org/images/logos/site/site.png?width=600,NE10 Tournament Appearance,85.4,60.6,75.8
Alabama Huntsville,Alabama Huntsville,Gulf South,NA,Yes,Yes,https://uahchargers.com/sports/baseball/schedule/2025,https://uahchargers.com/sports/baseball/roster/2025,https://uahchargers.com/sports/baseball,https://uahchargers.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://uahchargers.com/images/logos/site/site.png?width=600,#0046ad,25-22,0.532,W6,12-18,0.4,W5,https://gscsports.org/images/logos/site/site.png?width=600,NA,35.6,20,29.799999999999997
Albany St. (GA),Albany State,SIAC,NA,Yes,Yes,https://asugoldenrams.com/sports/baseball/schedule/2025,https://asugoldenrams.com/sports/baseball/roster/2025,https://asugoldenrams.com/sports/baseball,https://asugoldenrams.com,2024-12-01T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,1,0,0,0,https://asugoldenrams.com/images/logos/site/site.png?width=600,#d99c14,37-12,0.755,L1,28-3,0.903,L1,https://thesiac.com/images/logos/site/site.png?width=600,SIAC Regular Season Champions,57.6,56.8,57.3
American Int'l,American International,NE10,Southwest,No,Yes,https://www.aicyellowjackets.com/sports/bsb/2024-25/schedule,https://www.aicyellowjackets.com/sports/bsb/2024-25/roster,https://www.aicyellowjackets.com/sports/bsb,https://www.aicyellowjackets.com,2025-01-10T00:00:00Z,2024-12-19T00:00:00Z,Presto,0,0,1,0,https://cdn.usteamcolors.com/images/ncaa/division-2/american-international-yellow-jackets-logo.png,#F2AF36,14-29,0.326,L3,10-19,0.345,L3,https://northeast10.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Anderson (SC),Anderson,SAC,NA,Yes,Yes,https://autrojans.com/sports/baseball/schedule/2025,https://autrojans.com/sports/baseball/roster/2025,https://autrojans.com/sports/baseball,https://autrojans.com,2024-10-30T00:00:00Z,2024-11-29T00:00:00Z,Sidearm,1,0,0,0,https://autrojans.com/images/logos/site/site.png?width=600,#bca271,24-24,0.5,W4,12-18,0.4,W4,https://cdn.usteamcolors.com/images/ncaa/conferences/south-atlantic-conference-logo.png,NA,45.7,24.5,37.4
Angelo St.,Angelo State,Lone Star,NA,Yes,Yes,https://angelosports.com/sports/baseball/schedule/2025,https://angelosports.com/sports/baseball/roster/2025,https://angelosports.com/sports/baseball,https://angelosports.com,2024-12-16T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://angelosports.com/images/logos/site/site.png?width=600,#245397,44-21,0.677,L1,32-16,0.667,L1,https://lonestarconference.org/images/logos/site/site.png?width=600,South Central Regional Champions; National Runner Up,62.5,68,64.6
Arkansas Tech,Arkansas Tech,GAC,NA,Yes,Yes,https://arkansastechsports.com/sports/baseball/schedule/2025,https://arkansastechsports.com/sports/baseball/roster/2025,https://arkansastechsports.com/sports/baseball,https://arkansastechsports.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://arkansastechsports.com/images/logos/site/site.png?width=600,#ffce00,38-20,0.655,L3,23-10,0.697,L3,https://greatamericanconference.com/images/logos/site/site.png?width=600,GAC Regular Season Champions; Central Regional Appearance,40,59.099999999999994,47.4
Ark.-Fort Smith,Arkansas-Fort Smith,MIAA,NA,Yes,Yes,https://uafortsmithlions.com/sports/baseball/schedule/2025,https://uafortsmithlions.com/sports/baseball/roster/2025,https://uafortsmithlions.com/sports/baseball,https://uafortsmithlions.com,2025-01-21T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://uafortsmithlions.com/images/logos/site/site.png?width=600,#002856,26-28,0.481,L2,23-26,0.469,L2,https://themiaa.com/images/logos/site/site.png?width=600,Lone Star Tournament Appearance; 1st season as a MIAA member in 2025,65.9,39.2,55.7
Ark.-Monticello,Arkansas-Monticello,GAC,NA,Yes,Yes,https://www.uamsports.com/sports/baseball/schedule/2025,https://www.uamsports.com/sports/baseball/roster/2025,https://www.uamsports.com/sports/baseball,https://www.uamsports.com,2025-01-07T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://www.uamsports.com/images/logos/site/site.png?width=600,#00ae6e,35-24,0.593,L2,23-10,0.697,W2,https://greatamericanconference.com/images/logos/site/site.png?width=600,GAC Regular Season and Tournament Champions; Central Super Regional Appearance,80.9,74.4,78.4
Ashland,Ashland,G-MAC,NA,Yes,Yes,https://goashlandeagles.com/sports/baseball/schedule/2025,https://goashlandeagles.com/sports/baseball/roster/2025,https://goashlandeagles.com/sports/baseball,https://goashlandeagles.com,2024-12-16T00:00:00Z,2024-11-19T00:00:00Z,Sidearm,1,0,0,0,https://goashlandeagles.com/images/logos/site/site.png?width=600,#5c068c,42-15,0.737,L1,24-8,0.75,W1,https://greatmidwestsports.com/images/logos/site/site.png?width=600,G-MAC Regular Season Champions; Midwest Regional Appearance,79.4,75.2,77.8
Assumption,Assumption,NE10,Northeast,Yes,Yes,https://assumptiongreyhounds.com/sports/baseball/schedule/2025,https://assumptiongreyhounds.com/sports/baseball/roster/2025,https://assumptiongreyhounds.com/sports/baseball,https://assumptiongreyhounds.com,2024-12-16T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,1,0,0,0,https://assumptiongreyhounds.com/images/logos/site/site.png?width=600,#1162A5,19-30,0.388,L1,11-17,0.393,L1,https://northeast10.org/images/logos/site/site.png?width=600,NE10 Tournament Appearance,87.5,57,75.9
AUM,Auburn Montgomery,Gulf South,NA,Yes,Yes,https://aumathletics.com/sports/baseball/schedule/2025,https://aumathletics.com/sports/baseball/roster/2025,https://aumathletics.com/sports/baseball,https://aumathletics.com,2024-09-19T00:00:00Z,2024-11-09T00:00:00Z,Sidearm,1,0,0,0,https://aumathletics.com/images/logos/site/site.png?width=600,#f04e29,32-24,0.571,L1,20-10,0.667,L4,https://gscsports.org/images/logos/site/site.png?width=600,South Regional Appearance,49.9,61.199999999999996,54.1
Augusta,Augusta,Peach Belt,NA,Yes,Yes,https://augustajags.com/sports/baseball/schedule/2025,https://augustajags.com/sports/baseball/roster/2025,https://augustajags.com/sports/baseball,https://augustajags.com,2024-10-30T00:00:00Z,2024-12-01T00:00:00Z,Sidearm,1,0,0,0,https://augustajags.com/images/logos/site/site.png?width=600,#002f55,24-27,0.471,L7,12-14,0.462,L7,https://peachbeltconference.org/images/logos/site/site.png?width=600,Peach Belt Tournament Appearance,36.6,36.8,36.7
Augustana (SD),Augustana,NSIC,NA,Yes,Yes,https://goaugie.com/sports/baseball/schedule/2025,https://goaugie.com/sports/baseball/roster/2025,https://goaugie.com/sports/baseball,https://goaugie.com,2024-10-30T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,1,0,0,0,https://goaugie.com/images/logos/site/site.png?width=600,#002147,47-10,0.825,L2,33-6,0.846,W10,https://northernsun.org/images/logos/site/site.png?width=600,NSIC Regular Season and Conference Champions; Central Regional Appearance,31.1,77.10000000000001,48.5
Azusa Pacific,Azusa Pacific,PacWest,NA,Yes,Yes,https://athletics.apu.edu/sports/baseball/schedule/2025,https://athletics.apu.edu/sports/baseball/roster/2025,https://athletics.apu.edu/sports/baseball,https://athletics.apu.edu,2024-11-29T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://athletics.apu.edu/images/logos/site/site.png?width=600,#B4131D,22-29,0.431,L2,16-17,0.485,L2,https://thepacwest.com/images/logos/site/site.png?width=600,PacWest Tournament Appearance,35.7,47.1,40.1
Barry,Barry,Sunshine State,NA,Yes,Yes,https://gobarrybucs.com/sports/baseball/schedule/2025,https://gobarrybucs.com/sports/baseball/roster/2025,https://gobarrybucs.com/sports/baseball,https://gobarrybucs.com,2024-09-19T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://gobarrybucs.com/images/logos/site/site.png?width=600,#ac1a2f,28-22,0.56,W1,16-14,0.533,W1,https://sunshinestateconference.com/images/logos/site/site.png?width=600,NA,38.9,12.9,28.599999999999998
Barton,Barton,Conference Carolinas,NA,Yes,Yes,https://bartonbulldogs.com/sports/baseball/schedule/2025,https://bartonbulldogs.com/sports/baseball/roster/2025,https://bartonbulldogs.com/sports/baseball,https://bartonbulldogs.com,2024-12-30T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://bartonbulldogs.com/images/logos/site/site.png?width=600,#003082,34-16,0.68,L2,17-13,0.567,L2,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/swuathletics.com/images/responsive_2020/logo_footer_conference-carolina.png,Conference Carolinas Tournament Appearance,56,38,49.3
